name,lat,lon,category,desc
Eisbachwelle,48.1435,11.5877,Nature,A famous river wave where surfers show off their skills in the middle of the city.
Monopteros,48.1539,11.5963,Nature,A Greek-style temple offering the best panoramic view of the English Garden.
Kleinhesseloher See,48.1607,11.5977,Nature,A peaceful lake perfect for renting a pedal boat or enjoying a beer at the Seehaus.
Nymphenburger Schlosspark,48.1582,11.5036,Nature,"A vast baroque park with hidden pavilions, canals, and ancient trees."
Flaucher,48.1077,11.5628,Nature,"The Isar river's pebble beaches where locals grill, swim, and relax in summer."
Residenz MÃ¼nchen,48.1411,11.578,Historical,The former royal palace of the Wittelsbach monarchs of Bavaria.
Feldherrnhalle,48.1418,11.5776,Historical,A monumental loggia on Odeonsplatz modeled after the Loggia dei Lanzi in Florence.
Alter Peter,48.1364,11.5751,Historical,The oldest parish church in Munich. The view from the top is worth every step.
Siegestor,48.1526,11.5819,Historical,A three-arched triumphal arch crowned with a statue of Bavaria with four lions.
Asamkirche,48.1351,11.5695,Historical,A stunning Baroque church built by the Asam brothers as their private chapel.
Pinakothek der Moderne,48.1471,11.5722,Art,One of the world's largest museums for modern and contemporary art.
Brandhorst Museum,48.1481,11.5743,Art,Famous for its multicolored facade and impressive collection of Andy Warhol pieces.
Street Art Museum (MUCA),48.1372,11.5698,Art,"Germany's first museum of urban art, hidden in a former power station."
Alte Pinakothek,48.1483,11.57,Art,Home to one of the most important collections of Old Master paintings in the world.
Lenbachhaus,48.147,11.5637,Art,"Famous for its collection of works by the 'Blue Rider' group, including Kandinsky."
